,SMILES,molecule_chembl_id,MW,LogP,Activity_nM
36,O=C(/C=C/c1ccc(C(c2ccc(O)cc2)=C2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1)N(CCO)CCO,CHEMBL4065838,473.6130000000002,4.476600000000007,0.13
37,COc1c(C)c(Br)c2c(=O)oc3c(C)c(O)ccc3c2c1C,CHEMBL381697,363.20700000000005,4.348160000000002,1.15
38,Oc1ccc2cc(-c3noc4cc(O)ccc34)ccc2c1,CHEMBL187105,277.27900000000005,4.059200000000002,1.0
39,CC(C)Cc1ccc(N2CCc3cc(O)ccc3[C@]2(C)c2ccc(/C=C/C(=O)O)cc2)c(F)c1,CHEMBL4088736,459.56100000000015,6.153800000000007,0.4
40,Oc1ccc(-c2nc3cc(O)ccc3o2)cc1,CHEMBL187392,227.21900000000002,2.9060000000000006,2.2
41,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,CHEMBL376915,340.37500000000006,4.018600000000003,5.0
42,Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H]3CCC[C@@H]32)cc1,CHEMBL278703,282.33899999999994,4.115200000000002,0.17
43,O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ccncc2)CC1,CHEMBL1434556,437.5690000000003,3.363290000000002,30.0
44,Cc1cc(N2Nc3cc(O)ccc3-c3c2c2ccc(O)cc2oc3=O)ccc1OCCN1CCC=C(C(=O)O)C1,CHEMBL5184399,541.5600000000004,4.753720000000005,0.06
45,O=C(O)/C=C/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,CHEMBL4228617,428.4590000000002,5.926900000000005,0.55
46,Oc1ccc2c(c1)Cc1sc3cc(O)ccc3c1[C@H]2c1ccc([C@H](O)CCN2CCCCC2)cc1,CHEMBL184958,485.6490000000004,6.3063000000000065,0.4
47,CC1=CC[C@]2(O)C[C@H]1[C@H](c1ccc(O)c(F)c1)OC2(C)C,CHEMBL181191,292.35,3.468600000000002,0.6
48,Cl.Oc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,CHEMBL537254,498.04400000000044,7.058300000000008,0.05
49,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cccc(O)c12,CHEMBL42707,473.5940000000001,6.075200000000007,0.002
