Model,Train Accuracy,Test Accuracy,Test F1 (macro),Test F1 (weighted),Training Time (s)
Logistic Regression,0.891213389121339,0.6538461538461539,0.4183908045977011,0.6357206012378426,3.2781665325164795
Random Forest,0.9121338912133892,0.7692307692307693,0.5904761904761905,0.7190476190476189,2.600734233856201
Random Forest (Deep),0.9602510460251046,0.6923076923076923,0.5029411764705882,0.6419683257918553,2.314455270767212
Extra Trees,0.9414225941422594,0.7307692307692307,0.5815053763440861,0.6819685690653432,1.4885659217834473
Gradient Boosting,0.9707112970711297,0.7307692307692307,0.5353535353535354,0.6802641802641803,154.77023577690125
XGBoost,0.9665271966527197,0.6153846153846154,0.34545454545454546,0.5559440559440559,9.858680486679077
LightGBM,0.9832635983263598,0.7692307692307693,0.6026625704045059,0.7221631415179802,6.800929307937622
Voting Ensemble,0.9790794979079498,0.7692307692307693,0.6026625704045059,0.7221631415179802,0.0
Stacking Ensemble (LR),0.9246861924686193,0.5769230769230769,0.4283908045977012,0.5530282935455348,0.0
